id,source,item_number,cases,po,carrier,bol_number,tp_receipt_number,ship_date,received,pallets,notes,created_at,updated_at,synced_at,excel_row
1,TP,TEST-001,100,,Test Carrier,,,2026-01-30,0,,,2026-01-30T12:24:13.795591,2026-01-30T12:24:13.795601,,
2,TP,SF16-40RR,1600,3037,Slim Trucking,SC0349965,3373180,2025-12-23,1,40.0,EMCO,2026-01-30T12:40:20.409804,2026-02-02T16:06:45.760274,2026-02-02T16:06:45.760274,2
3,TP,SF16-40RR,1600,3038,Slim Trucking,SC0349967,3373268,2025-12-23,1,40.0,EMCO,2026-01-30T12:40:20.413858,2026-02-02T16:06:45.763367,2026-02-02T16:06:45.763367,3
4,TP,SF16-40RR,1600,3033,Slim Trucking,579852,3373251,2025-12-26,1,40.0,ILLIANA,2026-01-30T12:40:20.413895,2026-02-02T16:06:45.763420,2026-02-02T16:06:45.763420,4
5,TP,ST20-6RR,3840,3039,Barr Trans,SC0351055,3373448,2025-12-26,1,24.0,EMCO,2026-01-30T12:40:20.413911,2026-02-02T16:06:45.763459,2026-02-02T16:06:45.763459,5
6,TP,ST20-6RR,4000,3040,Barr Trans,SC0351160,3373632,2025-12-26,1,25.0,EMCO,2026-01-30T12:40:20.413927,2026-02-02T16:06:45.763492,2026-02-02T16:06:45.763492,6
7,TP,SF16-40RR,1600,3042,Slim Trucking,SC0349968,3374211,2025-12-29,1,40.0,EMCO,2026-01-30T12:40:20.413943,2026-02-02T16:06:45.763524,2026-02-02T16:06:45.763524,7
8,TP,HM16,2160,3034,Slim Trucking,579853,3374385,2025-12-30,1,20.0,ILLIANA,2026-01-30T12:40:20.413959,2026-02-02T16:06:45.763559,2026-02-02T16:06:45.763559,8
9,TP,DC14,160,3035,Slim Trucking,579893,3374426,2025-12-30,1,1.0,ILLIANA,2026-01-30T12:40:20.413975,2026-02-02T16:06:45.763595,2026-02-02T16:06:45.763595,9
10,TP,IC5,700,3035,Slim Trucking,579893,3374426,2025-12-30,1,4.0,ILLIANA,2026-01-30T12:40:20.413992,2026-02-02T16:06:45.763632,2026-02-02T16:06:45.763632,10
11,TP,MP20-6RR,216,3035,Slim Trucking,579893,3374426,2025-12-30,1,1.0,ILLIANA,2026-01-30T12:40:20.414010,2026-02-02T16:06:45.763670,2026-02-02T16:06:45.763670,11
12,TP,SF16-12,160,3035,Slim Trucking,579893,3374426,2025-12-30,1,2.0,ILLIANA,2026-01-30T12:40:20.414027,2026-02-02T16:06:45.763720,2026-02-02T16:06:45.763720,12
13,TP,SF20,720,3035,Slim Trucking,579893,3374426,2025-12-30,1,9.0,ILLIANA,2026-01-30T12:40:20.414043,2026-02-02T16:06:45.763757,2026-02-02T16:06:45.763757,13
14,TP,SS14,160,3035,Slim Trucking,579893,3374426,2025-12-30,1,1.0,ILLIANA,2026-01-30T12:40:20.414060,2026-02-02T16:06:45.763789,2026-02-02T16:06:45.763789,14
15,TP,TT16,160,3035,Slim Trucking,579893,3374426,2025-12-30,1,2.0,ILLIANA,2026-01-30T12:40:20.414076,2026-02-02T16:06:45.763823,2026-02-02T16:06:45.763823,15
16,TP,SF16-40RR,1600,3043,Slim Trucking,SC0349969,3374549,2025-12-30,1,40.0,EMCO,2026-01-30T12:40:20.414095,2026-02-02T16:06:45.763857,2026-02-02T16:06:45.763857,16
17,TP,ST20-6RR,3840,3044,Barr Trans,SC0351341,3375173,2026-01-02,1,24.0,EMCO,2026-01-30T12:40:20.414114,2026-02-02T16:06:45.763891,2026-02-02T16:06:45.763891,17
18,TP,PS12,320,3045,RVN LOGISTICS,580191,3376831,2026-01-08,1,2.0,ILLIANA,2026-01-30T12:40:20.414133,2026-02-02T16:06:45.763914,2026-02-02T16:06:45.763914,18
19,TP,SF128,260,3045,RVN LOGISTICS,580191,3376831,2026-01-08,1,5.0,ILLIANA,2026-01-30T12:40:20.414150,2026-02-02T16:06:45.763937,2026-02-02T16:06:45.763937,19
20,TP,SF12802,416,3045,RVN LOGISTICS,580191,3376831,2026-01-08,1,4.0,ILLIANA,2026-01-30T12:40:20.414165,2026-02-02T16:06:45.763959,2026-02-02T16:06:45.763959,20
21,TP,ST20,560,3045,RVN LOGISTICS,580191,3376831,2026-01-08,1,7.0,ILLIANA,2026-01-30T12:40:20.414176,2026-02-02T16:06:45.763981,2026-02-02T16:06:45.763981,21
22,TP,TT16,160,3045,RVN LOGISTICS,580191,3376831,2026-01-08,1,2.0,ILLIANA,2026-01-30T12:40:20.414187,2026-02-02T16:06:45.764003,2026-02-02T16:06:45.764003,22
23,TP,SF20,1600,3046,Slim Trucking,580192,3376703,2026-01-08,1,20.0,ILLIANA,2026-01-30T12:40:20.414198,2026-02-02T16:06:45.764026,2026-02-02T16:06:45.764026,23
24,TP,SF16-40RR,1600,3048,Slim Trucking,58307,3378021,2026-01-12,1,40.0,ILLIANA,2026-01-30T12:40:20.414209,2026-02-02T16:06:45.764048,2026-02-02T16:06:45.764048,24
25,TP,SF16-40RR,1600,3049,Barr Trans,SC0352277,3377389,2026-01-09,1,40.0,EMCO,2026-01-30T12:40:20.414221,2026-02-02T16:06:45.764069,2026-02-02T16:06:45.764069,25
26,TP,SF16-40RR,1600,3050,Barr Trans,SC0352281,3377515,2026-01-09,1,40.0,EMCO,2026-01-30T12:40:20.414232,2026-02-02T16:06:45.764092,2026-02-02T16:06:45.764092,26
27,TP,SF16-40RR,1600,3054,Barr Trans,SC0352282,3379432,2026-01-16,1,40.0,EMCO,2026-01-30T12:40:20.414244,2026-02-02T16:06:45.764113,2026-02-02T16:06:45.764113,27
28,TP,SF16-40RR,1600,3055,Barr Trans,SC0352284,3379540,2026-01-16,1,40.0,EMCO,2026-01-30T12:40:20.414862,2026-02-02T16:06:45.764237,2026-02-02T16:06:45.764237,28
