id,source,reference_number,order_number,customer,ship_date,carrier,shipped,actual_date,pallets,pro,seal,notes,pickup_time,created_at,updated_at,synced_at,excel_row,delayed
1,TP,92008995,38293,Walmart,2026-01-02,WM Fleet,1,,4.0,,670362,rescheduled 1/7,,2026-01-30T12:40:20.679208,2026-02-02T16:06:45.920766,2026-02-02T16:06:45.920766,2,1
2,TP,68171279,38391-38417,Target,2026-01-27,Dohrn,1,,1.0,88870210,,,,2026-01-30T12:40:20.680241,2026-02-02T16:06:45.921519,2026-02-02T16:06:45.921519,3,1
3,TP,921203277,38379-38389,Auto Zone,2026-01-29,Uber,1,,30.0,,670484,Originally 01/27 pushed to 01/29 by AZ,,2026-01-30T12:40:20.680321,2026-02-02T16:06:45.921653,2026-02-02T16:06:45.921653,4,1
4,TP,921203302,38378-38388,Auto Zone,2026-01-29,Uber,1,,36.0,,670486,Originally 01/27 pushed to 01/29 by AZ,,2026-01-30T12:40:20.680379,2026-02-02T16:06:45.921736,2026-02-02T16:06:45.921736,5,1
5,TP,919382738,38245-38255,Auto Zone,2025-12-26,Uber,1,,41.0,,670368,,,2026-01-30T12:40:20.680463,2026-02-02T16:06:45.922841,2026-02-02T16:06:45.922841,6,0
6,TP,919382728,38246-38256,Auto Zone,2025-12-26,Uber,1,,37.0,,670365,,,2026-01-30T12:40:20.680515,2026-02-02T16:06:45.922933,2026-02-02T16:06:45.922933,7,0
7,TP,919382747,38247-38250,Auto Zone,2025-12-26,Uber,1,,33.0,,670369,,,2026-01-30T12:40:20.680561,2026-02-02T16:06:45.923010,2026-02-02T16:06:45.923010,8,0
8,TP,919540020,38252-38256,Auto Zone,2025-12-26,Uber,1,,38.0,,670370,,,2026-01-30T12:40:20.680604,2026-02-02T16:06:45.923086,2026-02-02T16:06:45.923086,9,0
9,TP,231158235,B - SO38262,Home Depot,2025-12-26,Estes,1,,1.0,0961099480,,Pickup 116617214,,2026-01-30T12:40:20.680645,2026-02-02T16:06:45.923161,2026-02-02T16:06:45.923161,10,0
10,TP,PLDC26245219,38294,Menards,2025-12-26,Dohrn,1,,5.0,4534652835,,PU5177258,,2026-01-30T12:40:20.680691,2026-02-02T16:06:45.923237,2026-02-02T16:06:45.923237,11,0
11,TP,91960454,"38260, 38261",Walmart,2025-12-26,WM Fleet,1,,34.0,,623902,,,2026-01-30T12:40:20.680732,2026-02-02T16:06:45.923313,2026-02-02T16:06:45.923313,12,0
12,TP,42401091,38244,Walmart,2025-12-29,FedEx Parcel,1,,6.0,438750180248,,fedex,,2026-01-30T12:40:20.680776,2026-02-02T16:06:45.923390,2026-02-02T16:06:45.923390,13,0
13,TP,ECDC26261916,38306,Menards,2025-12-30,Dohrn,1,,5.0,4533901916,,,,2026-01-30T12:40:20.680817,2026-02-02T16:06:45.923466,2026-02-02T16:06:45.923466,14,0
14,TP,66906705,38263-38290,Target,2025-12-30,Dohrn,1,,1.0,4533901925,,,,2026-01-30T12:40:20.680859,2026-02-02T16:06:45.923541,2026-02-02T16:06:45.923541,15,0
15,TP,91988959,"38295, 38296",Walmart,2025-12-30,WM Fleet,1,,35.0,,623909,,,2026-01-30T12:40:20.680903,2026-02-02T16:06:45.923616,2026-02-02T16:06:45.923616,16,0
16,TP,231190394,B - SO38297,Home Depot,2026-01-02,Estes,1,,1.0,0961099483,,Pickup 116724988  ,,2026-01-30T12:40:20.680948,2026-02-02T16:06:45.923690,2026-02-02T16:06:45.923690,17,0
17,TP,231190397,B - SO38298,Home Depot,2026-01-02,Estes,1,,4.0,0961099486,,Pickup 116724988  ,,2026-01-30T12:40:20.680991,2026-02-02T16:06:45.923764,2026-02-02T16:06:45.923764,18,0
18,TP,231190393,B - SO38299,Home Depot,2026-01-02,Estes,1,,1.0,0961099484,,Pickup 116724988  ,,2026-01-30T12:40:20.681039,2026-02-02T16:06:45.923836,2026-02-02T16:06:45.923836,19,0
19,TP,231190398,B - SO38300,Home Depot,2026-01-02,Estes,1,,1.0,0961099485,,Pickup 116724988  ,,2026-01-30T12:40:20.681086,2026-02-02T16:06:45.923910,2026-02-02T16:06:45.923910,20,0
20,TP,231190395,B - SO38301,Home Depot,2026-01-02,Dayton,1,,1.0,00773295607,,PU# MDW-2118731 ,,2026-01-30T12:40:20.681133,2026-02-02T16:06:45.923985,2026-02-02T16:06:45.923985,21,0
21,TP,231190396,B - SO38302,Home Depot,2026-01-02,AAACT,1,,1.0,730100021,,PU# MRK 64374276 ,,2026-01-30T12:40:20.681182,2026-02-02T16:06:45.924060,2026-02-02T16:06:45.924060,22,0
22,TP,42451780,"38303, 38305",Walmart,2026-01-05,Schneider,1,,34.0,,623907,,,2026-01-30T12:40:20.681231,2026-02-02T16:06:45.924136,2026-02-02T16:06:45.924136,23,0
23,TP,SHDC26297216,38343,Menards,2026-01-07,Dohrn,1,,13.0,4533901943,,PU5199339,,2026-01-30T12:40:20.681285,2026-02-02T16:06:45.924231,2026-02-02T16:06:45.924231,24,0
24,TP,PLDC26308582,38345,Menards,2026-01-07,Dohrn,1,,10.0,4533901961,,PU5199470,,2026-01-30T12:40:20.681334,2026-02-02T16:06:45.924308,2026-02-02T16:06:45.924308,25,0
